"Date","Price","Open","High","Low","Change %"
"Oct 18","20.0427","18.6748","20.1138","18.5027","7.07%"
"Sep 18","18.7184","19.0804","19.6960","18.6744","-1.92%"
"Aug 18","19.0850","18.6500","19.3781","18.4040","2.34%"
"Jul 18","18.6480","19.8025","20.2040","18.4970","-6.37%"
"Jun 18","19.9175","19.9087","20.9685","19.5665","0.02%"
"May 18","19.9135","18.7175","20.0555","18.6935","6.41%"
"Apr 18","18.7135","18.1812","19.1441","17.9345","3.05%"
"Mar 18","18.1600","18.8405","18.9890","18.1570","-3.61%"
"Feb 18","18.8403","18.6002","18.9824","18.3128","1.29%"
"Jan 18","18.6000","19.6620","19.6745","18.3080","-5.36%"
"Dec 17","19.6530","18.6310","19.9150","18.5505","5.49%"
"Nov 17","18.6310","19.1489","19.3755","18.4442","-2.71%"
"Oct 17","19.1490","18.2495","19.3280","18.1350","4.90%"
"Sep 17","18.2550","17.8918","18.3020","17.6045","2.06%"
"Aug 17","17.8870","17.7960","18.0650","17.5735","0.48%"
"Jul 17","17.8013","18.1417","18.4120","17.4491","-1.80%"
"Jun 17","18.1278","18.6212","18.8200","17.7990","-2.65%"
"May 17","18.6212","18.8125","19.2632","18.3372","-1.06%"
"Apr 17","18.8200","18.7215","19.3022","18.4600","0.51%"
"Mar 17","18.7250","20.1075","20.1660","18.6115","-6.88%"
"Feb 17","20.1075","20.8365","20.8475","19.6070","-3.49%"
"Jan 17","20.8340","20.6840","22.0351","20.6465","0.51%"
"Dec 16","20.7275","20.5735","20.8825","20.1420","0.76%"
"Nov 16","20.5720","18.8640","21.4002","18.1525","9.05%"
"Oct 16","18.8640","19.3672","19.4175","18.4450","-2.69%"
"Sep 16","19.3850","18.7900","19.9300","18.2580","3.19%"
"Aug 16","18.7851","18.7499","19.0050","17.8977","0.17%"
"Jul 16","18.7525","18.2760","18.9820","18.1107","2.58%"
"Jun 16","18.2800","18.4710","19.5301","18.0785","-1.02%"
"May 16","18.4684","17.1765","18.6020","17.1035","7.53%"
"Apr 16","17.1750","17.2842","17.9552","17.0457","-0.61%"
"Mar 16","17.2806","18.1379","18.1712","17.0945","-4.71%"
"Feb 16","18.1350","18.1125","19.4502","17.9620","0.14%"
"Jan 16","18.1100","17.1800","18.8093","17.1800","5.41%"
"Dec 15","17.1800","16.5783","17.4751","16.4727","3.65%"
"Nov 15","16.5745","16.5027","16.9213","16.3540","0.45%"
"Oct 15","16.5000","16.9258","17.0277","16.3275","-2.48%"
"Sep 15","16.9193","16.7470","17.3429","16.3620","1.00%"
"Aug 15","16.7522","16.1020","17.3030","16.0700","3.98%"
"Jul 15","16.1106","15.7314","16.4909","15.6224","2.36%"
"Jun 15","15.7389","15.3720","15.7688","15.1650","2.35%"
"May 15","15.3775","15.3490","15.5935","14.9833","0.19%"
"Apr 15","15.3488","15.2680","15.4947","14.7585","0.57%"
"Mar 15","15.2618","14.9445","15.6688","14.8552","2.08%"
"Feb 15","14.9507","14.9723","15.1579","14.6382","-0.26%"
"Jan 15","14.9890","14.7580","15.0680","14.4330","1.63%"