Fecha,Precio ,Precios
oct. 2013,"2.621,87",2621.87
nov. 2013,"2.604,15",2604.15
dic. 2013,"2.568,37",2568.37
ene. 2014,"2.616,36",2616.36
feb. 2014,"2.781,75",2781.75
mar. 2014,"2.933,21",2933.21
abr. 2014,"2.907,31",2907.31
may. 2014,"2.809,23",2809.23
jun. 2014,"2.629,10",2629.1
jul. 2014,"2.374,59",2374.59
ago. 2014,"2.318,27",2318.27
sep. 2014,"2.157,74",2157.74
oct. 2014,"2.198,04",2198.04
nov. 2014,"2.430,31",2403.31
dic. 2014,"2.590,02",2590.02
ene. 2015,"2.566,06",2566.06
feb. 2015,"2.591,99",2591.99
mar. 2015,"2.652,92",2659.92
abr. 2015,"2.618,38",2618.38
may. 2015,"2.538,34",2538.34
jun. 2015,"2.579,73",2579.73
jul. 2015,"2.862,69",2862.69
ago. 2015,"2.689,09",2889.09
sep. 2015,"2.790,43",2790.43
oct. 2015,"2.840,06",2840.06
nov. 2015,"2.766,20",2766.2
dic. 2015,"2.798,07",2798.07
ene. 2016,"2.908,90",2908.9
feb. 2016,"2.953,02",2953.02
mar. 2016,"2.812,12",2812.12
abr. 2016,"2.875,97",2875.97
may. 2016,"3.069,25",3069.25
jun. 2016,"3.354,48",3354.48
jul. 2016,"3.010,71",3010.71
ago. 2016,"2.772,47",2772.47
sep. 2016,"2.852,24",2852.24
oct. 2016,"2.878,08",2878.08
nov. 2016,"3.044,57",3044.57
dic. 2016,"3.126,57",3126.57
ene. 2017,"3.429,04",3429.04
feb. 2017,"3.305,92",3305.92
mar. 2017,"3.065,42",3065.42
abr. 2017,"2.936,54",2936.54
may. 2017,"2.976,30",2976.3
jun. 2017,"2.864,21",2864.21
jul. 2017,"2.801,23",2801.23
ago. 2017,"2.644,29",2644.29
sep. 2017,"2.626,77",2626.77
oct. 2017,"2.795,11",2795.11
nov. 2017,"2.821,37",2821.37
dic. 2017,"2.857,62",2857.62
ene. 2018,"2.953,40",2953.4
feb. 2018,"3.045,08",3045.08
mar. 2018,"3.204,80",3204.8
abr. 2018,"3.228,79",3228.79
may. 2018,"3.461,16",3461.16
,,
,,
,,
,,
,,